shot_id,probability,physical_error,final_correction,hard_prediction,failure,D_r,D_g,D_b,W,minimizing_color,phi,D_min,minus_W
47,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0
48,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0
49,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0
50,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0
51,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0
52,0.00390625,0000000000000000100,0000000000000000100,0,0,13.904394759341093,13.904394759341093,13.904394759341093,3.4760986898352733,r,10.42829606950582,13.904394759341093,-3.4760986898352733
53,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0
54,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0
55,0.00390625,0000000000010000100,0000000000010000100,0,0,13.904394759341093,10.42829606950582,13.904394759341093,6.9521973796705465,g,3.476098689835273,10.42829606950582,-6.9521973796705465
56,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0
57,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0
58,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0
59,0.00390625,0000000000000001100,0000000000000000011,0,0,10.42829606950582,13.904394759341093,10.42829606950582,6.9521973796705465,r,3.476098689835273,10.42829606950582,-6.9521973796705465
60,0.00390625,0000000000000010000,0000000000000010000,0,0,13.904394759341093,13.904394759341093,13.904394759341093,3.4760986898352733,r,10.42829606950582,13.904394759341093,-3.4760986898352733
61,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0
62,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0
63,0.00390625,0000000000010000000,0000000000010000000,0,0,17.380493449176367,13.904394759341093,13.904394759341093,3.4760986898352733,g,10.42829606950582,13.904394759341093,-3.4760986898352733
64,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0
65,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0
66,0.00390625,0000001010000000000,0000001010000000000,0,0,13.904394759341093,13.904394759341093,10.42829606950582,6.9521973796705465,b,3.476098689835273,10.42829606950582,-6.9521973796705465
67,0.00390625,0010000000000000000,0010000000000000000,1,0,13.904394759341093,13.904394759341093,13.904394759341093,3.4760986898352733,r,10.42829606950582,13.904394759341093,-3.4760986898352733
68,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0
69,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0
70,0.00390625,0000000000000011000,0000000000000011000,0,0,13.904394759341093,10.42829606950582,13.904394759341093,6.9521973796705465,g,3.476098689835273,10.42829606950582,-6.9521973796705465
71,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0
72,0.00390625,0000000000000000100,0000000000000000100,0,0,13.904394759341093,13.904394759341093,13.904394759341093,3.4760986898352733,r,10.42829606950582,13.904394759341093,-3.4760986898352733
73,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0
74,0.00390625,0000000000000100000,0000000000000100000,0,0,13.904394759341093,13.904394759341093,17.380493449176367,3.4760986898352733,r,10.42829606950582,13.904394759341093,-3.4760986898352733
75,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0
76,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0
77,0.00390625,0000000000100000000,0000000000100000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,3.4760986898352733,r,13.904394759341093,17.380493449176367,-3.4760986898352733
78,0.00390625,0000000100000010000,0000000100000010000,0,0,10.42829606950582,13.904394759341093,13.904394759341093,6.9521973796705465,r,3.476098689835273,10.42829606950582,-6.9521973796705465
79,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0
80,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0
81,0.00390625,0000000000000000000,0000000000000000000,0,0,17.380493449176367,17.380493449176367,17.380493449176367,0.0,r,17.380493449176367,17.380493449176367,-0.0
