shot_id,probability,physical_error,final_correction,hard_prediction,failure,D_r,D_g,D_b,W,minimizing_color,phi,D_min,minus_W,delta_class,delta_corr,within_class_suboptimality,optimal_class_gap
17,0.0007728606231299999,0010001,0000100,0,1,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
18,0.0007728606231299999,0010010,0001000,0,1,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
19,2.3902905869999993e-05,0010011,0100000,1,0,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
20,0.0007728606231299999,0010100,0000001,0,1,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
21,2.3902905869999993e-05,0010101,0000000,0,1,10.42829606950582,10.42829606950582,10.42829606950582,0.0,r,10.42829606950582,10.42829606950582,-0.0,10.42829606950582,10.42829606950582,0.0,10.42829606950582
22,2.3902905869999993e-05,0010110,1000000,1,0,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
23,7.392651299999999e-07,0010111,0000010,0,1,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
24,0.0007728606231299999,0011000,0000010,0,1,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
25,2.3902905869999993e-05,0011001,1000000,1,0,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
26,2.3902905869999993e-05,0011010,0000000,0,1,10.42829606950582,10.42829606950582,10.42829606950582,0.0,r,10.42829606950582,10.42829606950582,-0.0,10.42829606950582,10.42829606950582,0.0,10.42829606950582
27,7.392651299999999e-07,0011011,0000001,0,1,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
28,2.3902905869999993e-05,0011100,0100000,1,0,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
29,7.392651299999999e-07,0011101,0001000,0,1,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
30,7.392651299999999e-07,0011110,0000100,0,1,6.9521973796705465,6.9521973796705465,6.9521973796705465,3.4760986898352733,r,3.4760986898352733,6.9521973796705465,-3.4760986898352733,3.4760986898352733,3.4760986898352733,0.0,3.4760986898352733
